,well number,buffer,max frames,rg average,mass average,rg error,io average,porod average,vcqm average
44,H4,Buffer1,5.0,10.849538700296659,2.464364075030473,4.177412185571121,0.1268528715676142,0.8805366272720334,3.862855754295284
45,C4,Average,7.0,38.99320081737204,82.16974634125575,4.568490936260034,28.21368266360894,3.8540938338980912,28.50118705731159
46,C4,Buffer2,1.0,19.26058320818922,31.900537472616453,nan,10.683721311713562,1.6630724236594585,11.210697813101572
47,C4,Buffer1,9.0,34.05377131138869,67.95494687319311,7.155277747096143,23.96214903951502,3.8571819579610227,24.54303366213276
48,F2,Average,22.0,9.34728740087187,6.462850559316309,3.0331573165967574,9.623477991629615,3.9460677529842174,2.614454297675527
49,F2,Buffer2,2.0,19.45758760954156,24.388064471611216,10.497028600345999,36.64101746029132,2.8656200102253715,9.89591108006872
50,F2,Buffer1,42.0,10.130767754429462,8.261657664872084,3.8471953297345194,12.289905743860944,2.825389168506907,3.3399850236580995
51,F7,Average,1.0,4.632648221695175,3.0425268552419062,nan,0.4575707175737288,nan,5.431637380180529
52,F7,Buffer2,2.0,4.49560264353238,2.870493769201939,0.2441220086501869,0.4438520190702161,nan,5.217932905817253
53,F7,Buffer1,2.0,5.916204001923463,3.0060270397487834,0.906859833041027,0.4734529911935049,nan,5.266319733594338
54,C5,Average,8.0,46.91092238250498,104.97675692854588,5.638622062351083,77.52528454162666,3.306284079785788,34.189188156075616
55,C5,Buffer2,2.0,40.42061545930423,86.99837003594403,1.6601841144240352,61.48856416776639,3.6722248686862233,29.707798218426376
56,C5,Buffer1,39.0,36.688121842239156,79.28457972776519,16.00473566502444,59.211475584593686,2.8364735858090193,25.762106814789092
57,C8,Average,26.0,12.362790483896369,8.687786230736686,3.2658875429943994,3.243881225949107,1.3497446734351803,2.154425232021657
58,C8,Buffer2,4.0,19.616115454763314,20.05513585256523,2.620372661866317,7.6437369909395985,1.4741612502894912,5.0619574671616
59,C8,Buffer1,3.0,15.758756301754055,12.932196023307007,3.3515202369321893,4.910469654954202,0.6886939918075425,3.23117040737605
60,D8,Average,5.0,18.346036568650437,20.01710722047047,3.3970196179025787,33.466184921799154,4.192751882134438,10.13566069751262
61,D8,Buffer2,6.0,10.513385266246656,9.041387109892888,3.829337782481176,15.16316463801985,2.9387132721136657,4.588777405428345
62,D8,Buffer1,19.0,15.14541310242092,16.06556113207577,4.75866541432966,26.838288578069577,4.15394683082463,8.121253511361523
63,E6,Average,1.0,13.225464910408,5.594123294715989,nan,17.582217796369914,0.8132193802009602,1.1796395917942577
64,E6,Buffer2,3.0,12.781524006639701,5.409237248621941,0.9558417000125483,17.059876064911748,0.7051630117946314,1.1416960899925384
65,E6,Buffer1,1.0,12.96460595894481,5.433637250888743,nan,17.111837020376814,0.8588619457447754,1.14484422204773
66,G4,Average,2.0,5.059482219708389,2.881651557818867,0.10965729548466147,3.3220982464646456,nan,5.195407558347801
67,G4,Buffer2,2.0,6.990767200699564,3.4738847490003955,0.41944190740068044,3.9896468254016595,nan,6.315835369628841
68,G4,Buffer1,2.0,5.530402742402712,3.1303541988764962,0.23789271771616718,3.6044129253244863,nan,5.630144637848815
69,D11,Average,1.0,20.16284360233541,22.1524249299108,nan,8.310548052140255,4.415148789371558,10.462174793640656
