,filename,frame_number,well_num,buffer,rg_med,rg_std_err_med,rg_pstat,io_med,Vp,mass_vp
37,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00038.sub.1.dat,00038,A12,Buffer1,29.720045016291756,9.800032086723032,5.335856657135049e-07,12.377949169855054,119291.33580764386,99.0118087203444
38,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00039.sub.1.dat,00039,A12,Buffer1,21.32791340574131,8.78624510485866,1.3215299530843376e-05,7.99530571385924,51411.93498636693,42.67190603868455
39,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00040.sub.1.dat,00040,A12,Buffer1,16.91829938761672,6.493592233642015,3.745225636019814e-08,5.98208392376215,24540.500517648703,20.368615429648425
40,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00041.sub.1.dat,00041,A12,Buffer1,18.269257685646696,4.409170777643304,7.982232268538964e-06,7.536997482369246,37494.47644578827,31.120415450004266
41,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00042.sub.1.dat,00042,A12,Buffer1,25.026823935249258,9.669392310486925,1.5761254058674913e-05,10.46953717364901,86605.76854123599,71.88278788922587
42,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00043.sub.1.dat,00043,A12,Buffer1,20.169047012508177,7.890388114368133,1.5086344825915897e-08,7.2863795937245905,44686.57209210001,37.08985483644301
43,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00044.sub.1.dat,00044,A12,Buffer1,18.178105293753596,5.97246740838836,4.241802607027297e-10,6.7228637948329935,33296.12474843203,27.63578354119858
44,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00045.sub.1.dat,00045,A12,Buffer1,21.971189729739383,8.438137615719311,9.028043422405844e-06,9.21177079643129,63280.649431468395,52.52293902811877
45,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00046.sub.1.dat,00046,A12,Buffer1,17.18344610992091,6.313254178208279,3.291112923757936e-05,6.0817566492301065,27225.437235834128,22.597112905742325
46,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00047.sub.1.dat,00047,A12,Buffer1,19.962559137404273,7.791592747037904,1.253330970736941e-07,7.759959875603507,47103.9935668082,39.09631466045081
47,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00048.sub.1.dat,00048,A12,Buffer1,25.23440160303609,3.226135147076432,0.001028182549366585,10.707315546724487,89573.64386408191,74.34612440718799
48,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00049.sub.1.dat,00049,A12,Buffer1,24.48343402012685,8.25054760216773,9.026796182183633e-07,10.058011427362583,79002.54538434095,65.57211266900299
49,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00050.sub.1.dat,00050,A12,Buffer1,21.442346353524112,2.7262308318881967,0.00011251272004165045,8.44149084729463,58227.10193559499,48.32849460654384
50,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00001.sub.1.ave.dat,00001,A2,Average,20.583907819582134,2.900798275146821,3.2059397478692332e-06,5.966374242253933,44898.4090205282,37.265679487038405
51,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00002.sub.1.ave.dat,00002,A2,Average,19.412456021963244,1.7693250253983859,0.0004797793136205208,6.0945169542785305,48642.93741232874,40.373638052232856
52,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00003.sub.1.ave.dat,00003,A2,Average,20.93363450930426,1.9175269162015238,6.255667926137517e-07,5.916294615202046,50648.78778346315,42.038493860274414
53,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00004.sub.1.ave.dat,00004,A2,Average,19.114711024456483,4.453059956133518,3.833714584171448e-07,5.792519806613098,44071.330136788674,36.5792040135346
