id,rg,io,mass,N
SASDNB3,3.5,0.0311963,33,85
SASDMK7,8.251,0.19444,426,657
SASDML7,8.195,0.294815,500,668
SASDD97,2.74,39.11,NA,578
SASDDA7,4.11,44.38,NA,578
SASDDB7,2.76,37.44,NA,578
SASDDC7,3.91,36.59,NA,578
SASDMS6,2.808,0.0278075,96,268
SASDMT6,3.931,0.0664127,152.8,268
SASDMM7,3.097,312.669,106,716
SASDMN7,3.109,286.844,106,716
SASDMP7,3.114,283.755,106,716
SASDMQ7,3.287,253.542,107,716
SASDMR7,3.242,244.431,103,716
SASDMS7,3.238,242.473,106,716
SASDKV7,2.397,7.21642,63,346
SASDKW7,2.129,10.6387,34,152
SASDKX7,2.783,19.8436,75,152
SASDJ33,2.943,0.044,60,294
SASDKF8,3.532,0.0622967,46.1,242
SASDKG8,3.364,0.0428052,47,149
SASDKH8,3.808,15.5952,45.75,173
SASDLT2,5.12,0.092942,330,1322
SASDLU2,8.13,0.155764,710,214
SASDK78,6.83,150.588,NA,462
SASDEX9,3.34,1320.69,233,263
SASDMN2,8.867,0.0231497,NA,496
SASDMP2,9.317,0.0595853,NA,484
SASDMQ2,5.442,0.0247182,NA,484
SASDLS4,4.64,0.0160171,93,258
SASDLT4,6.33,0.0179591,211,415
SASDLU4,6.72,0.0386012,254,448
SASDJ69,7.595,0.113037,NA,250
SASDJ79,8.887,0.796764,NA,250
SASDJ89,8.589,0.984147,NA,250
SASDJ99,9.002,1.48383,NA,250
SASDJA9,10.415,1.99114,NA,250
SASDJ75,3.82,0.0936,174.09,427
SASDLG7,2.074,0.00981418,19,74
SASDLH7,1.712,0.00883472,12,68
SASDJ34,3.48,150,213,602
SASDJ44,5.11,52.5,514,602
SASDJ54,6.6,114.6,1340,602
SASDK46,3.295,5964.01,22,48
SASDK56,2.05,24372.6,59,229
SASDLY4,2.62,0.00258506,60,200
SASDLZ4,3.729,0.255601,140,474
SASDL25,4.475,0.473291,250,200
SASDL29,3.73,94046,NA,329
SASDMQ5,3.654,0.120097,156,200
SASDFM4,2.6,0.001343,50,382
SASDFN4,2.562,0.001574,43,382
SASDFP4,2.706,0.01089,73,465
SASDFQ4,2.694,0.01029,61,465
SASDFV8,6.185,0.503,504,303
SASDFW8,6.38,0.509,531,303
SASDFX8,6.527,0.553,584,303
SASDFY8,7.061,0.659,666,303
SASDFZ8,7.217,0.766,696,303
SASDF59,2.49,0.01299,79.5,209
SASDF69,2.41,0.02581,84,192
SASDF79,2.43,0.01347,78.4,192
SASDF89,2.43,0.02631,82,192
SASDGD7,7.271,0.85,NA,303
SASDGE7,7.505,0.73,NA,303
SASDGF7,6.914,0.59,NA,303
SASDGG7,6.504,0.5,NA,303
SASDGH7,6.279,0.47,NA,303
SASDGJ7,7.611,0.96,NA,303
SASDGK7,7.628,0.82,NA,303
SASDGL7,7.047,0.62,NA,303
SASDGM7,6.686,0.52,NA,303
SASDGN7,6.44,0.45,NA,303
SASDGP7,6.182,0.34,NA,15
SASDGQ7,6.072,0.34,NA,15
SASDGR7,6.23,0.35,NA,15
SASDGS7,6.1,0.34,NA,15
SASDGT7,6.148,0.34,NA,15
SASDGU7,3.135,0.11,NA,15
SASDGV7,2.557,0.081,NA,15
SASDGW7,2.463,0.079,NA,15
SASDGX7,2.421,0.076,NA,15
SASDGY7,6.912,0.64,NA,303
SASDGZ7,6.772,0.55,NA,303
SASDG28,6.392,0.5,NA,303
SASDG38,6.309,0.46,NA,303
SASDG48,6.113,0.43,NA,303
SASDG58,5.158,0.55,NA,303
SASDG68,5.637,0.49,NA,303
SASDG78,5.891,0.49,NA,303
SASDG88,6.096,0.48,NA,303
SASDG98,6.088,0.47,NA,303
SASDGA8,5.23,0.54,NA,303
SASDGB8,5.585,0.47,NA,303
SASDGC8,5.98,0.46,NA,303
SASDGD8,6.138,0.45,NA,303
SASDGE8,6.233,0.46,NA,303
SASDGF8,5.398,0.58,NA,303
SASDGG8,5.491,0.46,NA,303
SASDGH8,6.029,0.48,NA,303
SASDGJ8,6.094,0.45,NA,303
SASDGK8,6.182,0.46,NA,303
SASDGL8,5.974,0.52,NA,303
SASDGM8,5.538,0.37,NA,303
SASDGN8,5.939,0.36,NA,303
SASDGP8,6.017,0.35,NA,303
SASDGQ8,6.105,0.35,NA,303
SASDGR8,6.045,0.73,NA,303
SASDGS8,5.652,0.48,NA,303
SASDGT8,5.808,0.44,NA,303
SASDGU8,5.994,0.43,NA,303
SASDGV8,6.042,0.43,NA,303
SASDGW8,3.054,0.2147,NA,195
SASDGX8,2.817,0.13,NA,195
SASDGY8,2.589,0.093,NA,195
SASDGZ8,2.468,0.081,NA,195
SASDG29,2.433,0.081,NA,195
SASDG39,6.17,0.46,NA,303
SASDG49,6.14,0.44,NA,303
SASDG59,6.178,0.46,NA,303
SASDG69,6.158,0.34,NA,303
SASDG79,6.075,0.43,NA,303
SASDG89,2.416,0.078,NA,195
SASDG99,5.775,0.22,NA,303
SASDGA9,6.106,0.32,NA,303
SASDGB9,5.142,0.28,NA,303
SASDGC9,5.818,0.24,NA,303
SASDGD9,6.088,0.23,NA,303
SASDGE9,5.125,0.28,NA,303
SASDGF9,5.9,0.22,NA,303
SASDGG9,6.192,0.27,NA,303
SASDGH9,5.557,0.23,NA,303
SASDGJ9,5.948,0.22,NA,303
SASDGK9,6.359,0.27,NA,303
SASDGL9,5.336,0.23,NA,303
SASDGM9,5.813,0.19,NA,303
SASDGN9,5.696,0.1766,NA,15
SASDGP9,5.368,0.2038,NA,303
SASDGQ9,2.325,0.051,NA,195
SASDGR9,4.178,0.069,NA,15
SASDGS9,2.374,0.047,NA,195
SASDGT9,2.691,0.088,NA,15
SASDHD2,3.303,0.084,225,302
SASDJK4,5.11,45.98,262,356
SASDJL4,7.48,17.82,898,347
SASDJM4,3.42,30108,132,771
SASDJN4,3.46,28300,101,771
SASDJM7,5.35,181938,177,130
SASDJN7,6.36,102961,1100,130
SASDJP7,7.05,101892,950,466
SASDMC2,1.322,244.306,NA,133
SASDMD2,1.396,122.992,NA,133
SASDME2,1.418,85.3575,NA,133
SASDMF2,1.44,42.5612,NA,133
SASDMG2,1.454,17.6212,NA,133
SASDMH2,1.397,247.362,NA,133
SASDMJ2,1.398,247.362,NA,133
SASDMK2,1.389,247.295,NA,133
SASDML2,1.398,247.362,NA,133
SASDGW5,2.72,1.74,11.7,563
SASDGZ5,3.18,2.25,NA,538
SASDBL9,2.68,51460,55.03,168
SASDBM9,2.08,69307,45.58,165
